"restaurant_id","restaurant_name","avg_rating","total_revenue"
35,"Flavours of India 35","3.9","6658.59"
177,"Chutney Express 177","4.2","6648.56"
233,"Punjabi Dhaba 233","3.2","6567.24"
291,"South Spice 291","3.4","6539.18"
164,"Mughal Mahal 164","4.1","6519.98"
269,"Urban Tadka 269","5.0","6514.41"
90,"The Food Studio 90","3.2","6476.27"
88,"Burger Factory 88","4.3","6297.51"
218,"Annapurna Bhavan 218","4.2","6292.83"
196,"Punjabi Dhaba 196","3.6","6271.64"
69,"Masala Magic 69","3.8","6266.34"
293,"Golden Spoon 293","3.5","6241.83"
135,"Mumbai Masala 135","3.6","6176.70"
292,"Burger Factory 292","4.4","6170.30"
52,"Dragon Wok 52","3.1","6141.66"
12,"Curry Kingdom 12","4.1","6136.88"
85,"The Hungry Panda 85","4.9","6110.71"
79,"Dragon Wok 79","3.6","6104.44"
104,"The Food Studio 104","4.5","6095.20"
251,"Flavours of India 251","3.2","6030.77"
91,"Curry Kingdom 91","3.5","6016.86"
60,"Chai & Chat 60","3.8","6008.48"
230,"The Curry Leaf 230","3.6","5974.01"
236,"Burger Factory 236","3.9","5930.62"
268,"The Hungry Panda 268","3.6","5905.06"
122,"Kolkata Kitchen 122","3.9","5891.62"
84,"Dragon Wok 84","4.1","5886.62"
24,"Delhi Darbar 24","3.6","5863.55"
219,"South Spice 219","3.3","5813.48"
34,"South Spice 34","4.5","5793.37"
96,"Mumbai Masala 96","5.0","5772.33"
3,"South Spice 3","4.2","5731.05"
44,"Golden Spoon 44","4.5","5708.91"
267,"Taste of Punjab 267","4.9","5697.45"
203,"Golden Spoon 203","3.7","5692.39"
193,"The Curry Leaf 193","4.2","5691.44"
73,"Kolkata Kitchen 73","3.1","5650.35"
133,"Biryani House 133","4.3","5538.42"
228,"Pizza Junction 228","3.0","5537.71"
145,"South Spice 145","4.2","5493.93"
143,"Royal Tandoor 143","4.8","5409.79"
226,"Mumbai Masala 226","3.4","5377.35"
40,"Pizza Junction 40","4.2","5333.85"
243,"South Spice 243","3.1","5328.49"
179,"Curry Kingdom 179","4.9","5274.47"
77,"The Food Studio 77","4.2","5228.25"
214,"Chai & Chat 214","4.7","5223.16"
223,"Annapurna Bhavan 223","3.6","5209.31"
54,"Royal Tandoor 54","4.0","5206.84"
167,"Taste of Punjab 167","3.1","5153.39"
46,"The Hungry Panda 46","4.9","5077.01"
67,"Golden Spoon 67","4.8","5049.71"
232,"Caf̩ Masaledar 232","4.2","4988.42"
238,"Masala Magic 238","4.0","4949.20"
25,"Chai & Chat 25","4.8","4910.43"
150,"Rasoi Ghar 150","4.0","4845.14"
255,"Golden Spoon 255","3.4","4782.22"
31,"Bombay Bistro 31","3.1","4735.75"
127,"Tandoori Nights 127","4.5","4727.45"
274,"Taste of Punjab 274","3.6","4711.23"
117,"Masala Magic 117","4.2","4704.60"
278,"Curry Kingdom 278","4.1","4661.41"
94,"The Food Studio 94","4.3","4605.59"
115,"Annapurna Bhavan 115","4.9","4588.65"
286,"Urban Tadka 286","3.2","4587.98"
205,"Mughal Mahal 205","3.5","4586.87"
297,"Dragon Wok 297","4.9","4564.41"
140,"Golden Spoon 140","3.3","4557.62"
16,"Taste of Punjab 16","3.6","4522.62"
95,"Rasoi Ghar 95","3.0","4502.08"
21,"Masala Magic 21","4.4","4496.29"
148,"Pizza Junction 148","4.5","4484.77"
195,"Flavours of India 195","3.4","4410.94"
47,"Caf̩ Masaledar 47","4.4","4406.02"
239,"Biryani House 239","4.8","4390.06"
4,"Royal Tandoor 4","3.4","4359.09"
220,"Dragon Wok 220","5.0","4343.35"
99,"The Food Studio 99","3.1","4317.79"
126,"Annapurna Bhavan 126","3.3","4305.80"
159,"Spice Villa 159","4.5","4300.69"
118,"Chutney Express 118","4.2","4286.45"
181,"Delhi Darbar 181","4.4","4215.27"
207,"Pizza Junction 207","3.4","4200.31"
244,"Mumbai Masala 244","4.0","4171.86"
263,"Rasoi Ghar 263","3.5","4130.07"
154,"The Curry Leaf 154","3.3","4112.64"
250,"Rasoi Ghar 250","3.9","4065.79"
248,"Taste of Punjab 248","3.8","4061.20"
198,"Delhi Darbar 198","4.4","4029.99"
53,"Chai & Chat 53","3.1","3991.22"
188,"Rasoi Ghar 188","3.3","3982.18"
206,"Curry Kingdom 206","3.2","3953.87"
290,"Saffron Delight 290","3.8","3921.07"
83,"Mumbai Masala 83","3.9","3890.40"
13,"Rasoi Ghar 13","4.2","3882.11"
28,"Dragon Wok 28","3.8","3879.29"
261,"Curry Kingdom 261","4.9","3820.41"
199,"Golden Spoon 199","4.4","3795.31"
80,"Masala Magic 80","4.4","3760.65"
166,"Spice Villa 166","3.9","3753.88"
51,"Flavours of India 51","4.1","3746.74"
66,"Caf̩ Masaledar 66","3.8","3746.02"
225,"Royal Tandoor 225","3.2","3702.71"
235,"Biryani House 235","4.6","3686.64"
240,"Kolkata Kitchen 240","3.5","3650.35"
173,"Chai & Chat 173","4.9","3638.62"
182,"Chai & Chat 182","4.4","3607.14"
61,"Flavours of India 61","3.4","3576.26"
265,"Burger Factory 265","4.8","3560.02"
254,"Delhi Darbar 254","4.2","3526.72"
280,"Taste of Punjab 280","3.9","3497.93"
134,"Burger Factory 134","4.6","3494.25"
137,"The Curry Leaf 137","4.7","3491.64"
48,"Madras Cafe 48","5.0","3476.59"
162,"Masala Magic 162","3.1","3466.00"
157,"Rasoi Ghar 157","4.8","3459.53"
124,"Taste of Punjab 124","4.8","3449.34"
272,"Annapurna Bhavan 272","4.7","3447.26"
20,"Pizza Junction 20","3.9","3411.51"
186,"Flavours of India 186","4.6","3398.63"
109,"Madras Cafe 109","4.7","3397.43"
229,"Mughal Mahal 229","3.6","3393.46"
9,"Delhi Darbar 9","3.2","3387.91"
70,"Kolkata Kitchen 70","4.4","3384.87"
128,"Bombay Bistro 128","3.6","3377.89"
19,"Chai & Chat 19","4.3","3342.24"
26,"Chai & Chat 26","3.5","3329.29"
138,"Biryani House 138","4.8","3294.28"
211,"Bombay Bistro 211","4.4","3284.93"
191,"Rasoi Ghar 191","3.6","3284.28"
38,"Curry Kingdom 38","4.0","3254.68"
170,"Rasoi Ghar 170","4.7","3238.72"
287,"Curry Kingdom 287","3.3","3219.81"
175,"Saffron Delight 175","3.2","3214.93"
97,"Bombay Bistro 97","4.4","3167.79"
17,"Chai & Chat 17","3.7","3156.61"
102,"Caf̩ Masaledar 102","3.4","3135.88"
169,"Flavours of India 169","4.5","3132.70"
256,"Pizza Junction 256","3.9","3077.58"
277,"Saffron Delight 277","3.7","3062.05"
294,"Chai & Chat 294","3.5","3020.34"
190,"Punjabi Dhaba 190","3.9","2962.98"
187,"Curry Kingdom 187","4.3","2892.83"
204,"Kolkata Kitchen 204","3.7","2883.38"
257,"Madras Cafe 257","3.1","2874.00"
289,"Royal Tandoor 289","3.7","2857.70"
27,"The Curry Leaf 27","3.5","2846.15"
32,"Annapurna Bhavan 32","4.1","2814.75"
222,"Punjabi Dhaba 222","4.6","2798.23"
121,"Spice Villa 121","4.4","2757.35"
33,"Pizza Junction 33","4.4","2755.36"
132,"The Hungry Panda 132","3.3","2712.52"
185,"South Spice 185","4.0","2695.82"
260,"Biryani House 260","3.9","2637.30"
270,"Golden Spoon 270","4.1","2633.55"
98,"Pizza Junction 98","3.2","2588.98"
101,"Saffron Delight 101","3.7","2558.36"
18,"Delhi Darbar 18","4.9","2543.11"
180,"Dragon Wok 180","4.9","2531.56"
183,"Urban Tadka 183","4.6","2517.46"
111,"Caf̩ Masaledar 111","3.6","2506.03"
59,"Mughal Mahal 59","4.3","2434.58"
58,"Curry Kingdom 58","3.8","2434.00"
264,"Pizza Junction 264","3.4","2424.52"
130,"Tandoori Nights 130","4.3","2416.39"
275,"Golden Spoon 275","5.0","2374.23"
125,"The Hungry Panda 125","3.8","2361.01"
100,"Chutney Express 100","3.3","2318.46"
266,"Taste of Punjab 266","4.5","2236.04"
202,"The Curry Leaf 202","4.2","2233.16"
141,"Madras Cafe 141","4.6","2221.07"
43,"The Food Studio 43","3.2","2182.36"
171,"Golden Spoon 171","4.1","2138.26"
160,"Taste of Punjab 160","4.5","2134.64"
87,"Bombay Bistro 87","4.4","2129.05"
163,"Flavours of India 163","3.3","2120.49"
8,"Bombay Bistro 8","3.6","2117.14"
108,"Taste of Punjab 108","3.3","2115.30"
14,"Madras Cafe 14","4.3","2105.12"
119,"The Hungry Panda 119","4.8","2079.63"
123,"South Spice 123","3.6","2077.05"
107,"Kolkata Kitchen 107","4.6","2029.09"
50,"Mughal Mahal 50","3.4","2013.08"
281,"Masala Magic 281","4.4","2012.05"
62,"Pizza Junction 62","3.8","1982.68"
227,"South Spice 227","3.5","1919.07"
149,"Golden Spoon 149","4.5","1899.37"
299,"Delhi Darbar 299","3.2","1864.71"
45,"Saffron Delight 45","3.3","1854.71"
37,"Masala Magic 37","4.0","1842.53"
139,"Dragon Wok 139","4.4","1830.72"
6,"Madras Cafe 6","3.4","1827.22"
110,"Taste of Punjab 110","3.4","1825.52"
105,"Caf̩ Masaledar 105","5.0","1820.26"
129,"Pizza Junction 129","3.6","1771.41"
194,"Annapurna Bhavan 194","4.0","1689.42"
64,"Biryani House 64","3.2","1661.39"
210,"Curry Kingdom 210","3.5","1572.84"
247,"Tandoori Nights 247","4.3","1546.11"
11,"Punjabi Dhaba 11","3.9","1506.56"
7,"Dragon Wok 7","4.5","1494.43"
231,"Taste of Punjab 231","4.4","1491.62"
15,"Mumbai Masala 15","4.7","1491.48"
72,"Royal Tandoor 72","4.1","1489.40"
1,"Chai & Chat 1","4.5","1433.17"
192,"The Curry Leaf 192","4.8","1334.08"
298,"Madras Cafe 298","4.7","1295.28"
144,"Curry Kingdom 144","4.6","1287.38"
208,"Golden Spoon 208","4.2","1245.43"
39,"Delhi Darbar 39","4.5","1233.32"
258,"Chai & Chat 258","4.4","1215.24"
82,"Chai & Chat 82","3.6","1187.64"
75,"The Hungry Panda 75","3.1","1137.96"
178,"Kolkata Kitchen 178","4.9","1137.91"
22,"Rasoi Ghar 22","4.6","1116.89"
23,"Punjabi Dhaba 23","3.5","1091.50"
197,"Burger Factory 197","3.0","1080.04"
36,"Mughal Mahal 36","4.8","1072.45"
29,"The Curry Leaf 29","4.0","1037.13"
68,"Bombay Bistro 68","5.0","994.49"
30,"Mumbai Masala 30","3.3","990.89"
283,"Taste of Punjab 283","4.9","937.88"
165,"Caf̩ Masaledar 165","4.1","936.52"
5,"The Hungry Panda 5","4.1","887.08"
151,"The Curry Leaf 151","3.2","876.22"
153,"The Food Studio 153","3.3","872.21"
131,"Mughal Mahal 131","4.4","820.54"
2,"The Curry Leaf 2","4.5","681.24"
279,"Mughal Mahal 279","3.3","662.54"
241,"Biryani House 241","4.7","657.54"
282,"Chai & Chat 282","4.7","590.52"
216,"Flavours of India 216","3.5","582.41"
42,"The Food Studio 42","3.1","579.90"
152,"Urban Tadka 152","3.7","575.60"
113,"Delhi Darbar 113","3.6","568.12"
217,"Taste of Punjab 217","4.6","558.00"
10,"Curry Kingdom 10","4.2","474.81"
114,"Biryani House 114","4.3","452.08"
246,"Tandoori Nights 246","3.9","450.15"
262,"Urban Tadka 262","3.5","353.45"
273,"Madras Cafe 273","3.8","337.59"
76,"Biryani House 76","3.2","313.04"
271,"Chutney Express 271","4.5","309.44"
116,"Curry Kingdom 116","4.2","299.43"
106,"Punjabi Dhaba 106","3.0","233.75"
245,"Mughal Mahal 245","5.0","178.45"
189,"Bombay Bistro 189","3.5","172.20"
224,"Dragon Wok 224","4.1","137.26"
57,"Punjabi Dhaba 57","3.4","74.42"
65,"Chai & Chat 65","4.9","22.25"
